regime,T,rep,family,degree,eps,far_e990,eff_e990,tau_e990,far_e995,eff_e995,tau_e995,far_e999,eff_e999,tau_e999,eff_f001,eff_f010,eff_fixed,far_fixed,cos_C,notes
clean,200,0,classical_invA,,0.0004247940677551889,0.0,1.0,0.3636363636363642,0.0,1.0,0.3636363636363642,0.0,1.0,0.3636363636363642,1.0,1.0,1.0,0.0,0.9999999999999996,
clean,200,0,1bqf_cos,1.0,0.0004247940677551889,0.0,1.0,0.4958849304736624,0.0,1.0,0.4958849304736624,0.0,1.0,0.4958849304736624,1.0,1.0,1.0,0.0,0.9996655136949466,
clean,200,0,comb_prod,8.0,0.0004247940677551889,0.0,1.0,0.14983194331115268,0.0,1.0,0.14983194331115268,0.0,1.0,0.14983194331115268,1.0,1.0,0.5,0.0,0.9983562590414643,
clean,200,0,comb_prod,12.0,0.0004247940677551889,0.0,1.0,0.25986385114212623,0.0,1.0,0.25986385114212623,0.0,1.0,0.25986385114212623,1.0,1.0,1.0,0.0,0.9999952942101279,
clean,200,0,comb_prod,16.0,0.0004247940677551889,0.0,1.0,0.2921160802126149,0.0,1.0,0.2921160802126149,0.0,1.0,0.2921160802126149,1.0,1.0,1.0,0.0,0.9997694993195552,
clean,200,0,comb_prod,20.0,0.0004247940677551889,0.0,1.0,0.3014544402153997,0.0,1.0,0.3014544402153997,0.0,1.0,0.3014544402153997,1.0,1.0,1.0,0.0,0.9997870759678316,
clean,200,0,comb_prod,24.0,0.0004247940677551889,0.0,1.0,0.3361540562963339,0.0,1.0,0.3361540562963339,0.0,1.0,0.3361540562963339,1.0,1.0,1.0,0.0,0.9999826447205407,
clean,200,0,comb_prod,28.0,0.0004247940677551889,0.0,1.0,0.3497970009296172,0.0,1.0,0.3497970009296172,0.0,1.0,0.3497970009296172,1.0,1.0,1.0,0.0,0.9999691472682297,
clean,200,0,comb_prod,32.0,0.0004247940677551889,0.0,1.0,0.35136332877249105,0.0,1.0,0.35136332877249105,0.0,1.0,0.35136332877249105,1.0,1.0,1.0,0.0,0.9999800716010125,
clean,200,0,comb_prod,36.0,0.0004247940677551889,0.0,1.0,0.35661354236184667,0.0,1.0,0.35661354236184667,0.0,1.0,0.35661354236184667,1.0,1.0,1.0,0.0,0.9999991417742182,
clean,200,0,comb_prod,40.0,0.0004247940677551889,0.0,1.0,0.3605863287863949,0.0,1.0,0.3605863287863949,0.0,1.0,0.3605863287863949,1.0,1.0,1.0,0.0,0.9999990874149073,
clean,200,0,comb_prod,44.0,0.0004247940677551889,0.0,1.0,0.3610536718105759,0.0,1.0,0.3610536718105759,0.0,1.0,0.3610536718105759,1.0,1.0,1.0,0.0,0.9999994237584429,
clean,200,0,comb_prod,48.0,0.0004247940677551889,0.0,1.0,0.36131293223595723,0.0,1.0,0.36131293223595723,0.0,1.0,0.36131293223595723,1.0,1.0,1.0,0.0,0.9999999461200851,
clean,200,0,comb_prod,52.0,0.0004247940677551889,0.0,1.0,0.36212958170587195,0.0,1.0,0.36212958170587195,0.0,1.0,0.36212958170587195,1.0,1.0,1.0,0.0,0.9999999621085248,
clean,200,0,comb_prod,64.0,0.0004247940677551889,0.0,1.0,0.3624967352946637,0.0,1.0,0.3624967352946637,0.0,1.0,0.3624967352946637,1.0,1.0,1.0,0.0,0.9999999070821282,
clean,200,0,comb_prod,68.0,0.0004247940677551889,0.0,1.0,0.3625773426977186,0.0,1.0,0.3625773426977186,0.0,1.0,0.3625773426977186,1.0,1.0,1.0,0.0,0.9999999190225636,
clean,200,0,band_inverse,8.0,0.0004247940677551889,0.012345679012345678,1.0,0.17647833163295426,0.012345679012345678,1.0,0.17647833163295426,0.012345679012345678,1.0,0.17647833163295426,0.0,0.0,1.0,0.012345679012345678,0.9979751900274475,
clean,200,0,band_inverse,12.0,0.0004247940677551889,0.012345679012345678,1.0,0.25512781055153533,0.012345679012345678,1.0,0.25512781055153533,0.012345679012345678,1.0,0.25512781055153533,0.0,0.0,1.0,0.012345679012345678,0.9924835255711415,
clean,200,0,band_inverse,16.0,0.0004247940677551889,0.012345679012345678,1.0,0.25084730920355025,0.012345679012345678,1.0,0.25084730920355025,0.012345679012345678,1.0,0.25084730920355025,0.0,0.0,1.0,0.012345679012345678,0.9926999728574577,
clean,200,0,band_inverse,20.0,0.0004247940677551889,0.012345679012345678,1.0,0.27728896461922614,0.012345679012345678,1.0,0.27728896461922614,0.012345679012345678,1.0,0.27728896461922614,0.0,0.0,1.0,0.012345679012345678,0.9987375679627457,
clean,200,0,band_inverse,24.0,0.0004247940677551889,0.012345679012345678,1.0,0.2855094699921481,0.012345679012345678,1.0,0.2855094699921481,0.012345679012345678,1.0,0.2855094699921481,0.0,0.0,1.0,0.012345679012345678,0.9992540515619969,
clean,200,0,band_inverse,28.0,0.0004247940677551889,0.012345679012345678,1.0,0.2967484896090295,0.012345679012345678,1.0,0.2967484896090295,0.012345679012345678,1.0,0.2967484896090295,0.5,0.5,1.0,0.012345679012345678,0.9998784233451339,
