setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes
base,clean,400,0,classical_invA,,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.152240934977426,5.8477590650225775,0.0012484394506866,1.0,0.0012484394506866,1.0,0.0012484394506866,1.0,0.5,1.0,1.0,fixed-tau 0.350: eff 1.0000 far 0.0012
base,clean,400,0,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.152240934977426,5.8477590650225775,0.0,0.99875,0.0,0.99875,0.0012484394506866,1.0,0.99875,1.0,0.0821477006275172,mu=0.003
base,clean,400,0,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.152240934977426,5.8477590650225775,0.0,0.99875,0.0,0.99875,0.0012484394506866,1.0,0.99875,1.0,0.0821476998243685,mu=0.003
base,clean,400,0,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.152240934977426,5.8477590650225775,0.0,0.995,0.0,0.995,0.0012484394506866,1.0,0.9975,1.0,0.2524982581485928,
base,clean,400,0,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.152240934977426,5.8477590650225775,0.0,0.995,0.0,0.995,0.0012484394506866,1.0,0.9975,1.0,0.129805073948928,
base,clean,400,0,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.152240934977426,5.8477590650225775,0.0,0.99625,0.0,0.99625,0.0012484394506866,1.0,0.99875,1.0,0.1898466054929671,
base,clean,400,0,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.152240934977426,5.8477590650225775,0.0,0.99625,0.0,0.99625,0.0012484394506866,1.0,0.99875,1.0,0.0980361622081229,
base,clean,400,1,classical_invA,,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022573,0.0012484394506866,1.0,0.0012484394506866,1.0,0.0012484394506866,1.0,0.5,1.0,1.0,fixed-tau 0.350: eff 1.0000 far 0.0012
base,clean,400,1,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022573,0.0,0.99875,0.0,0.99875,0.0012484394506866,1.0,0.99875,1.0,0.0821479988213905,mu=0.003
base,clean,400,1,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022573,0.0,0.99875,0.0,0.99875,0.0012484394506866,1.0,0.99875,1.0,0.0821479980182344,mu=0.003
base,clean,400,1,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022573,0.0,0.995,0.0,0.995,0.0012484394506866,1.0,0.9975,1.0,0.2524977105021312,
base,clean,400,1,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022573,0.0,0.995,0.0,0.995,0.0012484394506866,1.0,0.9975,1.0,0.1298025489981048,
