solver,sigma_scatt,hit_ineff,n_trk,n_rep,eff,eff_sem,far,far_sem,pur,pur_sem,eff_wp,eff_wp_sem,far_wp,far_wp_sem,cos_QC
classical,0.0001,0.0,10,20,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,
classical,0.0001,0.0,20,20,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,
classical,0.0001,0.0,50,20,99.975,0.025,0.0,0.0,100.0,0.0,99.975,0.025,0.0,0.0,
classical,0.0001,0.0,100,20,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,
classical,0.0001,0.0,200,20,99.975,0.025,0.086957155128677,0.04937671397103239,99.91304284487133,0.049376713971032125,99.975,0.025,0.086957155128677,0.04937671397103239,
classical,0.0001,0.0,400,20,99.984375,0.012724141735093052,0.062402594601676,0.020232832559825963,99.93759740539831,0.020232832559826837,99.978125,0.015225146918312827,0.056176000427367,0.019142273502120232,
classical,0.0001,0.0,700,20,99.98392857142858,0.009511073878158919,0.10868825852469348,0.027132210401528637,99.8913117414753,0.027132210401528755,99.96964285714286,0.015168893420573794,0.09091631785934248,0.023448377236055577,
classical,0.0001,0.0,1000,20,99.9825,0.006810402260319245,0.18441150754902003,0.03880430240273989,99.81558849245097,0.03880430240273958,99.9675,0.00926581152182012,0.1446924272989495,0.028211484172265728,
classical,0.0001,0.01,10,20,97.89473684210527,0.5915278809989638,0.0,0.0,100.0,0.0,100.0,0.0,4.5,4.5,
classical,0.0001,0.01,20,20,97.88699314384247,0.5472258974705652,0.0,0.0,100.0,0.0,100.0,0.0,23.750512645249486,9.437496760379647,
classical,0.0001,0.01,50,20,98.63542597589546,0.27272935827970407,0.0,0.0,100.0,0.0,100.0,0.0,44.10015604046596,11.185062457210682,
classical,0.0001,0.01,100,20,98.14685442041994,0.19687368673201147,0.0,0.0,100.0,0.0,99.75789063716778,0.06277193809961688,29.801608246226287,10.392958893241332,
classical,0.0001,0.01,200,20,98.56429515863101,0.12407544484984473,0.1404358834857875,0.06778498572167821,99.85956411651422,0.06778498572167829,99.52291210086172,0.05681533023383345,10.643862617671235,6.796518655149122,
classical,0.0001,0.01,400,20,98.37110523539779,0.09236692899889304,0.0646425849486395,0.03684127315375947,99.93535741505136,0.03684127315376085,99.43168495188296,0.054149690718675175,3.329446141125011,0.2143485610654532,
classical,0.0001,0.01,700,20,98.4069006461306,0.09695127984331794,0.10173473050686,0.02600056930434516,99.89826526949314,0.026000569304344984,99.31622132877662,0.0488555800413558,7.971079846182927,0.7783020392353872,
classical,0.0001,0.01,1000,20,98.46750740961247,0.06608726757019759,0.16782506527562951,0.02555443014559055,99.83217493472435,0.025554430145590654,99.50106642201439,0.03503302291512787,17.592948107832267,0.17565603729690019,
classical,0.0001,0.02,10,20,96.4757501862765,0.8290265358346407,0.0,0.0,100.0,0.0,100.0,0.0,18.0,8.258966419340222,
classical,0.0001,0.02,20,20,97.27886197475239,0.5797588801205258,0.0,0.0,100.0,0.0,100.0,0.0,19.000512645249486,8.718033116752943,
classical,0.0001,0.02,50,20,97.12133854651108,0.3449979371611538,0.0,0.0,100.0,0.0,100.0,0.0,63.698987890271255,10.72341408028818,
classical,0.0001,0.02,100,20,96.96313218161126,0.3211723735764289,0.013404825737265,0.013404825737265,99.98659517426273,0.013404825737266177,99.92253595600678,0.046334795098245986,64.40165883715778,10.816954265959849,
classical,0.0001,0.02,200,20,96.76941972804792,0.22249016850376968,0.027223785069142005,0.01874162595379993,99.97277621493086,0.018741625953799815,99.7664522823401,0.07211672589548913,59.86831325911409,11.135623007587263,
classical,0.0001,0.02,400,20,96.8913951025075,0.1429683447899374,0.03681002652239,0.014142622443060438,99.96318997347761,0.01414262244306095,99.73427131533109,0.0778125055929005,61.185980722711484,10.835938901094961,
classical,0.0001,0.02,700,20,96.8814654848921,0.09265169834415923,0.0767901418193365,0.02070120505846172,99.92320985818068,0.020701205058462246,99.75621383035147,0.08597995479383495,72.72983399826845,9.506814139981762,
classical,0.0001,0.02,1000,20,96.85584990930414,0.09140782283319324,0.21462356367548802,0.031423515049382775,99.78537643632451,0.03142351504938291,99.62151883179779,0.09815919952828078,62.85886323354697,9.395122419125165,
classical,0.0001,0.05,10,20,92.60866739040112,1.1988410406794925,0.0,0.0,100.0,0.0,100.0,0.0,45.018641666228085,10.327985598740026,
classical,0.0001,0.05,20,20,93.21339603243509,0.9088859752911537,0.0,0.0,100.0,0.0,100.0,0.0,76.00410363822712,8.718270048366081,
classical,0.0001,0.05,50,20,92.76301593201148,0.6489849914662125,0.0,0.0,100.0,0.0,99.97282608695653,0.027173913043478142,88.25223157437344,6.709094289168843,
classical,0.0001,0.05,100,20,92.1489834524372,0.5362936836639083,0.014705882352941,0.014705882352940996,99.98529411764706,0.014705882352941303,99.94404016212232,0.043811693814644725,89.100380436245,6.813676401342633,
classical,0.0001,0.05,200,20,92.28692500081706,0.2872852805825013,0.029542097488921497,0.029542097488921497,99.97045790251107,0.02954209748892182,100.0,0.0,99.50003577562458,0.0002529234539029427,
classical,0.0001,0.05,400,20,92.61020120686582,0.23234675006490516,0.07857926981974249,0.028908805440327433,99.92142073018024,0.028908805440328023,100.0,0.0,99.74995341038516,6.384103160623967e-05,
classical,0.0001,0.05,700,20,92.38659741662829,0.21137206243067344,0.061911301943928986,0.01859179218447684,99.93808869805608,0.01859179218447693,100.0,0.0,99.85714251086044,2.531231598462476e-05,
classical,0.0001,0.05,1000,20,92.40241879859947,0.14314981484926056,0.18488256865810196,0.029826775591222838,99.8151174313419,0.02982677559122349,100.0,0.0,99.9000024255495,1.761272714191564e-05,
classical,0.0001,0.1,10,20,82.88602877288534,2.1497836294153734,0.0,0.0,100.0,0.0,100.0,0.0,58.49273375458455,9.847025258454893,
classical,0.0001,0.1,20,20,84.59061315566596,1.3249449374196207,0.0,0.0,100.0,0.0,100.0,0.0,80.74681866502951,7.7819009416085665,
classical,0.0001,0.1,50,20,84.56248553964417,0.8960396216763358,0.0,0.0,100.0,0.0,100.0,0.0,98.00477448326149,0.0029003979118907334,
